category,sku_tier,weight_oz,supplier_tier,region,quantity,moq,lead_time_days,days_since_last_buy,last_unit_price,supplier_ask,fair_unit_price
hoodie,premium,10.0,standard,CN,348,47,41,168,29.82,33.19,27.65
hoodie,basic,7.0,premium,US,638,150,13,82,14.69,16.88,15.14
hoodie,basic,7.0,standard,CN,1432,200,23,272,11.46,13.35,10.73
hoodie,basic,7.0,standard,CN,591,34,28,80,11.66,13.1,11.41
hoodie,basic,7.0,budget,US,1833,200,16,293,12.09,14.25,12.11
hoodie,basic,7.0,budget,US,771,177,9,197,12.08,14.4,11.49
hoodie,basic,7.0,standard,MX,341,80,22,97,12.93,15.35,12.25
hoodie,basic,7.0,standard,MX,705,145,33,356,12.75,13.03,12.12
hoodie,premium,10.0,premium,US,480,43,36,193,34.68,36.29,32.92
hoodie,basic,7.0,budget,CN,697,73,11,156,10.07,10.7,9.5
hoodie,basic,7.0,premium,US,559,47,23,33,14.64,17.72,14.55
hoodie,basic,7.0,standard,US,1072,78,43,111,14.03,15.39,13.11
hoodie,mid,8.5,standard,MX,1398,124,34,49,19.83,22.12,18.54
hoodie,mid,8.5,budget,CN,1868,200,26,355,14.86,17.62,15.37
hoodie,premium,10.0,standard,CN,1873,158,43,168,28.02,29.64,26.47
hoodie,basic,7.0,standard,CN,1267,200,36,240,12.26,14.17,11.49
hoodie,basic,7.0,budget,CN,1080,197,28,61,11.15,12.82,10.64
hoodie,basic,7.0,budget,CN,75,12,37,326,11.61,12.32,11.25
hoodie,mid,8.5,standard,CN,524,41,7,68,17.62,22.24,18.01
hoodie,mid,8.5,standard,US,1166,116,14,247,19.46,21.37,19.03
hoodie,mid,8.5,standard,CN,1694,200,39,232,18.39,22.63,18.01
hoodie,mid,8.5,standard,CN,555,111,24,280,18.79,19.89,18.02
hoodie,basic,7.0,premium,CN,190,14,21,210,14.18,14.49,13.61
hoodie,basic,7.0,standard,MX,876,54,33,213,11.98,13.84,11.29
hoodie,basic,7.0,budget,CN,745,81,31,228,10.43,12.32,9.98
hoodie,premium,10.0,standard,US,583,79,8,213,27.99,33.35,28.81
hoodie,basic,7.0,standard,CN,80,18,44,302,11.22,13.42,11.68
hoodie,premium,10.0,budget,US,557,70,20,246,28.09,33.28,26.81
hoodie,basic,7.0,budget,US,64,12,10,193,11.14,14.76,11.62
hoodie,basic,7.0,budget,US,531,47,8,332,12.33,13.26,12.05
hoodie,mid,8.5,standard,MX,368,62,14,97,18.81,20.6,19.51
hoodie,basic,7.0,standard,CN,1987,200,19,52,11.7,12.58,11.24
hoodie,mid,8.5,premium,CN,1655,200,9,191,19.55,20.11,18.87
hoodie,mid,8.5,budget,MX,885,189,13,235,16.37,18.07,15.71
hoodie,mid,8.5,premium,CN,578,100,41,261,20.4,22.88,19.29
hoodie,basic,7.0,budget,CN,1939,130,35,138,9.53,11.16,9.59
hoodie,basic,7.0,standard,MX,751,157,28,157,12.08,12.92,11.6
hoodie,basic,7.0,premium,CN,200,19,33,264,13.79,15.26,13.23
hoodie,basic,7.0,budget,CN,853,160,26,353,10.8,12.52,10.68
hoodie,basic,7.0,standard,US,702,84,36,152,13.12,16.16,13.24
hoodie,premium,10.0,standard,CN,417,38,37,155,30.5,33.15,28.32
hoodie,basic,7.0,budget,US,422,46,30,105,11.3,12.56,11.82
hoodie,basic,7.0,premium,MX,1331,200,38,66,13.36,15.1,13.04
hoodie,basic,7.0,budget,CN,130,13,37,72,10.94,11.26,10.6
hoodie,basic,7.0,standard,CN,647,43,22,74,11.53,13.63,11.48
hoodie,mid,8.5,standard,MX,804,112,35,166,20.05,23.15,19.45
hoodie,mid,8.5,premium,US,450,78,23,352,22.56,27.06,22.99
hoodie,basic,7.0,standard,US,1436,200,25,30,12.7,15.21,12.59
hoodie,premium,10.0,standard,US,1305,200,19,231,26.84,29.72,27.41
hoodie,basic,7.0,budget,CN,147,12,26,318,9.92,12.41,10.27
hoodie,mid,8.5,premium,CN,1049,165,35,55,21.1,24.14,19.8
hoodie,mid,8.5,budget,MX,493,119,43,314,18.0,19.35,18.27
hoodie,mid,8.5,standard,MX,1359,188,24,106,18.52,22.77,18.4
hoodie,premium,10.0,standard,US,861,100,13,96,31.01,35.75,28.9
hoodie,mid,8.5,standard,MX,669,67,14,220,18.95,18.82,17.92
hoodie,premium,10.0,standard,CN,136,12,30,332,25.15,30.3,25.76
hoodie,premium,10.0,standard,CN,1455,200,8,336,23.55,26.07,24.0
hoodie,mid,8.5,standard,MX,215,20,14,250,19.99,20.85,18.66
hoodie,mid,8.5,standard,CN,1013,200,22,247,17.38,21.93,17.38
hoodie,mid,8.5,premium,MX,1794,114,33,188,18.9,21.42,19.15
hoodie,mid,8.5,premium,CN,1027,200,35,289,19.88,24.53,20.02
hoodie,basic,7.0,premium,CN,1805,158,22,306,12.68,14.82,12.79
hoodie,premium,10.0,standard,MX,1384,200,16,267,24.83,32.68,25.69
hoodie,basic,7.0,budget,US,1755,200,40,247,13.16,13.05,12.23
hoodie,mid,8.5,budget,MX,1301,200,12,182,18.5,19.81,17.42
hoodie,basic,7.0,standard,CN,1580,200,41,32,11.3,12.61,11.44
hoodie,basic,7.0,premium,US,1582,200,13,241,14.83,15.85,15.0
hoodie,basic,7.0,budget,CN,759,94,16,139,9.22,10.13,9.48
hoodie,premium,10.0,standard,US,518,77,44,87,30.57,34.21,29.6
hoodie,mid,8.5,premium,US,977,200,41,94,25.37,32.62,25.66
hoodie,mid,8.5,standard,US,643,57,31,261,19.75,22.38,19.76
hoodie,basic,7.0,standard,US,69,16,32,154,15.44,18.06,14.34
hoodie,mid,8.5,premium,CN,1874,200,21,324,18.14,20.28,18.54
hoodie,basic,7.0,standard,US,1596,200,15,335,13.21,13.27,12.55
hoodie,basic,7.0,budget,US,1887,200,33,103,12.06,14.34,11.46
hoodie,basic,7.0,standard,MX,583,125,23,260,12.27,13.48,11.64
hoodie,basic,7.0,standard,CN,487,108,32,299,13.11,13.11,12.45
hoodie,mid,8.5,standard,CN,1402,200,23,313,17.82,19.89,17.17
hoodie,mid,8.5,premium,US,696,162,21,345,23.38,27.85,22.12
hoodie,basic,7.0,standard,MX,311,18,9,169,12.39,13.84,12.15
hoodie,basic,7.0,premium,CN,1451,200,33,314,12.52,14.79,12.91
hoodie,basic,7.0,standard,CN,860,200,24,30,11.21,12.95,11.43
hoodie,premium,10.0,standard,CN,1871,200,29,45,26.02,28.79,26.7
hoodie,mid,8.5,standard,US,1382,127,45,24,20.32,21.19,19.31
hoodie,mid,8.5,standard,CN,1225,114,21,182,20.47,23.09,19.45
hoodie,basic,7.0,premium,CN,291,45,18,70,13.67,14.35,12.99
hoodie,basic,7.0,budget,US,132,12,33,283,11.7,14.08,12.21
hoodie,basic,7.0,standard,CN,950,143,9,351,9.61,11.64,10.03
hoodie,basic,7.0,standard,MX,1029,198,35,51,12.13,13.26,12.23
hoodie,basic,7.0,standard,MX,1223,195,27,209,11.58,12.08,11.26
hoodie,mid,8.5,premium,CN,1358,200,42,124,21.25,22.83,19.94
hoodie,mid,8.5,standard,CN,1519,104,34,174,18.7,18.62,17.48
hoodie,mid,8.5,budget,CN,222,44,30,80,17.28,19.86,16.84
hoodie,basic,7.0,budget,MX,749,168,34,40,10.71,11.48,10.45
hoodie,mid,8.5,budget,US,246,29,42,202,18.42,20.59,18.68
hoodie,basic,7.0,standard,CN,1596,200,42,27,10.49,12.24,11.0
hoodie,mid,8.5,premium,CN,743,38,16,303,18.05,22.97,18.82
hoodie,premium,10.0,budget,US,1111,103,33,246,26.83,30.14,25.53
hoodie,basic,7.0,budget,US,347,69,10,359,12.33,14.05,12.24
hoodie,mid,8.5,standard,CN,466,93,14,190,17.86,21.22,17.63
hoodie,basic,7.0,standard,MX,1252,76,20,168,12.99,15.16,12.37
hoodie,basic,7.0,budget,CN,1043,200,18,80,10.54,12.3,9.96
hoodie,basic,7.0,premium,MX,111,15,36,53,13.67,15.77,13.34
hoodie,mid,8.5,standard,CN,260,34,27,101,18.48,18.49,17.28
hoodie,mid,8.5,budget,MX,1231,160,12,216,16.29,17.13,15.56
hoodie,mid,8.5,budget,MX,1321,96,39,113,17.1,20.03,16.19
hoodie,basic,7.0,budget,US,429,36,16,349,13.24,14.73,12.33
hoodie,mid,8.5,standard,CN,1211,169,43,343,17.53,18.43,16.99
hoodie,basic,7.0,standard,CN,645,134,44,42,10.53,12.68,10.97
hoodie,basic,7.0,standard,CN,612,39,12,328,11.63,13.21,10.83
hoodie,basic,7.0,premium,CN,1195,200,27,323,12.68,13.92,13.08
hoodie,basic,7.0,premium,CN,728,179,12,272,14.4,15.63,13.35
hoodie,mid,8.5,standard,CN,1904,200,33,187,17.17,21.44,17.94
hoodie,basic,7.0,standard,CN,1167,200,25,143,11.41,12.09,10.73
hoodie,mid,8.5,budget,CN,741,83,32,80,16.11,16.85,15.03
hoodie,basic,7.0,standard,CN,1690,127,40,61,10.94,11.97,10.97
hoodie,basic,7.0,premium,US,1020,90,15,93,15.42,15.62,14.55
hoodie,mid,8.5,premium,US,1834,200,28,330,23.39,27.14,22.11
hoodie,mid,8.5,budget,CN,921,54,30,360,17.61,19.49,16.37
hoodie,mid,8.5,standard,MX,504,79,26,254,19.67,22.12,19.21
hoodie,mid,8.5,standard,CN,1054,163,17,116,18.0,20.6,18.6
hoodie,mid,8.5,premium,US,1160,200,40,77,24.6,24.97,23.04
hoodie,basic,7.0,premium,CN,479,102,29,27,12.52,14.2,12.5
hoodie,basic,7.0,budget,US,484,26,13,346,12.54,13.59,11.73
hoodie,mid,8.5,standard,US,985,137,7,54,19.66,21.8,20.1
hoodie,premium,10.0,standard,US,891,64,25,135,32.39,35.52,30.75
hoodie,basic,7.0,premium,US,1247,196,39,308,14.31,16.97,14.77
hoodie,mid,8.5,budget,MX,878,76,12,282,17.53,22.03,17.25
hoodie,mid,8.5,standard,US,987,57,31,205,19.82,25.64,20.82
hoodie,basic,7.0,standard,US,1311,92,44,184,13.22,15.87,12.79
hoodie,mid,8.5,premium,CN,1005,177,15,46,21.74,21.46,20.27
hoodie,basic,7.0,standard,CN,1839,107,26,277,10.87,13.64,11.38
hoodie,basic,7.0,premium,US,122,27,28,153,14.47,18.19,14.5
hoodie,mid,8.5,premium,CN,816,96,18,268,18.6,20.19,18.89
hoodie,basic,7.0,standard,US,1709,147,25,178,13.34,15.03,13.44
hoodie,basic,7.0,standard,US,366,68,29,242,14.64,15.09,13.56
hoodie,premium,10.0,premium,CN,178,32,32,200,30.76,31.92,29.37
hoodie,basic,7.0,premium,US,1413,200,9,78,14.22,16.79,14.22
hoodie,mid,8.5,standard,CN,1968,200,35,53,17.35,19.44,17.03
hoodie,mid,8.5,budget,CN,257,14,18,269,17.45,20.13,16.61
hoodie,basic,7.0,standard,US,1446,200,38,116,13.62,14.82,12.84
hoodie,premium,10.0,standard,US,204,43,27,355,34.03,39.78,31.93
hoodie,mid,8.5,premium,US,1331,112,30,274,24.95,28.51,23.14
hoodie,basic,7.0,standard,CN,764,122,30,253,10.41,12.14,10.83
hoodie,premium,10.0,standard,US,1101,145,33,308,31.38,34.91,29.15
hoodie,basic,7.0,standard,CN,730,55,42,341,11.78,14.5,11.6
hoodie,mid,8.5,standard,US,647,53,27,129,21.52,25.2,20.07
hoodie,mid,8.5,budget,CN,1325,200,24,78,16.19,18.59,15.67
hoodie,mid,8.5,budget,CN,1303,200,45,186,16.4,19.87,16.03
hoodie,basic,7.0,budget,US,1338,200,23,347,10.45,13.74,10.95
hoodie,mid,8.5,standard,CN,643,94,32,166,18.32,19.14,17.62
hoodie,basic,7.0,standard,CN,721,123,27,177,11.8,13.85,12.2
hoodie,mid,8.5,standard,US,980,73,35,140,17.96,23.8,18.78
hoodie,premium,10.0,standard,MX,1996,200,17,181,25.48,33.58,26.25
hoodie,mid,8.5,premium,CN,1043,56,32,272,19.15,23.1,19.51
hoodie,basic,7.0,budget,CN,1248,200,37,160,11.18,12.78,10.5
hoodie,mid,8.5,standard,CN,845,50,42,113,17.28,19.93,17.5
hoodie,mid,8.5,standard,MX,1715,200,14,79,17.02,21.67,17.12
hoodie,mid,8.5,budget,US,1067,139,9,37,19.53,23.13,18.73
hoodie,mid,8.5,budget,US,1854,200,27,327,18.3,20.49,17.27
hoodie,mid,8.5,standard,CN,1028,197,26,257,18.35,22.16,18.39
hoodie,premium,10.0,standard,CN,1656,200,8,319,28.23,31.77,26.86
hoodie,mid,8.5,standard,CN,374,57,31,89,17.65,21.25,17.98
hoodie,mid,8.5,budget,CN,928,104,16,225,15.99,18.7,14.95
hoodie,mid,8.5,budget,MX,307,47,42,180,18.25,20.49,18.03
hoodie,premium,10.0,standard,CN,1116,132,29,360,26.65,30.5,25.62
hoodie,basic,7.0,budget,CN,1167,128,26,161,9.96,11.14,9.58
hoodie,mid,8.5,standard,US,1938,200,24,161,21.15,24.31,19.63
hoodie,premium,10.0,premium,MX,619,36,12,191,30.09,35.51,29.06
hoodie,basic,7.0,premium,US,580,137,24,84,13.95,18.34,14.58
hoodie,basic,7.0,budget,CN,230,30,37,65,9.97,13.1,10.3
hoodie,premium,10.0,budget,CN,1362,200,37,258,23.12,24.91,23.42
hoodie,mid,8.5,standard,CN,500,78,9,103,18.16,21.69,17.15
hoodie,basic,7.0,premium,US,1638,200,25,33,15.15,15.68,14.06
hoodie,premium,10.0,standard,CN,1036,200,15,272,24.74,27.3,25.37
hoodie,basic,7.0,standard,CN,551,106,7,186,10.26,13.15,10.55
hoodie,premium,10.0,premium,US,1080,124,32,356,34.8,37.45,32.29
hoodie,premium,10.0,budget,US,810,78,24,182,27.54,32.18,26.61
hoodie,basic,7.0,budget,CN,653,53,39,173,10.69,13.11,10.35
hoodie,basic,7.0,budget,CN,1985,152,16,246,9.83,11.14,9.62
hoodie,mid,8.5,standard,CN,472,95,45,55,18.26,20.32,17.93
hoodie,premium,10.0,budget,CN,1722,200,39,117,24.23,25.64,23.81
hoodie,basic,7.0,standard,CN,211,48,35,42,12.33,14.01,12.13
hoodie,basic,7.0,standard,US,1677,187,8,216,12.38,14.8,12.9
hoodie,mid,8.5,standard,US,148,35,11,255,20.87,25.52,20.8
hoodie,mid,8.5,premium,CN,1347,200,30,209,19.74,26.13,20.55
hoodie,premium,10.0,budget,CN,1786,200,18,289,21.63,28.54,22.38
hoodie,mid,8.5,standard,CN,636,90,41,231,18.38,20.56,18.47
hoodie,premium,10.0,standard,CN,256,14,33,328,27.75,27.46,26.06
hoodie,basic,7.0,budget,CN,93,12,10,139,10.05,12.82,10.27
hoodie,basic,7.0,standard,CN,617,59,43,177,12.42,14.64,11.82
hoodie,basic,7.0,premium,US,1377,200,33,167,14.38,14.99,13.75
hoodie,mid,8.5,standard,US,121,29,31,282,20.99,22.66,20.9
hoodie,basic,7.0,standard,MX,994,97,21,167,11.57,13.83,12.08
hoodie,basic,7.0,standard,CN,820,80,20,183,12.51,14.55,11.69
hoodie,basic,7.0,standard,CN,415,25,31,358,12.4,13.94,11.76
hoodie,mid,8.5,budget,MX,452,101,28,169,16.26,21.62,17.08
hoodie,premium,10.0,budget,CN,1569,200,22,323,22.25,25.01,22.43
hoodie,mid,8.5,standard,CN,656,67,39,268,19.51,22.5,18.5
hoodie,mid,8.5,standard,CN,441,54,33,37,18.0,23.14,18.29
hoodie,mid,8.5,standard,CN,337,30,21,208,18.17,21.77,18.5
hoodie,premium,10.0,standard,US,1588,200,38,249,31.09,34.63,29.79
hoodie,premium,10.0,standard,CN,1339,200,40,31,24.43,31.52,25.46
hoodie,basic,7.0,budget,CN,306,66,21,48,10.86,12.97,10.88
hoodie,mid,8.5,standard,CN,1014,184,8,17,17.57,18.45,17.51
hoodie,mid,8.5,standard,US,612,32,34,105,20.53,24.66,21.06
hoodie,mid,8.5,budget,CN,837,55,32,249,17.66,18.04,16.37
hoodie,mid,8.5,premium,CN,1363,200,9,61,19.44,22.8,18.82
hoodie,basic,7.0,premium,MX,1345,200,43,62,14.75,15.21,13.79
hoodie,premium,10.0,standard,CN,1185,171,9,52,25.99,27.39,25.1
hoodie,premium,10.0,budget,US,449,75,32,53,29.17,33.65,28.51
hoodie,mid,8.5,standard,CN,1132,131,15,54,17.9,22.1,17.78
hoodie,basic,7.0,standard,CN,1980,200,27,29,11.73,12.86,11.15
hoodie,basic,7.0,standard,CN,793,108,44,352,11.42,12.41,11.63
hoodie,basic,7.0,standard,CN,1630,200,31,176,10.48,13.8,10.89
hoodie,basic,7.0,standard,CN,234,17,18,234,10.6,12.58,11.12
hoodie,basic,7.0,standard,CN,689,153,7,163,11.61,13.43,11.04
hoodie,mid,8.5,premium,CN,522,85,17,364,20.73,21.76,20.44
hoodie,basic,7.0,standard,MX,1016,200,30,142,12.69,14.15,12.16
hoodie,mid,8.5,standard,CN,302,33,32,184,17.39,19.84,17.27
hoodie,mid,8.5,standard,MX,1242,95,27,322,19.03,21.88,19.5
hoodie,premium,10.0,premium,CN,621,122,38,308,30.69,33.08,29.17
hoodie,premium,10.0,budget,MX,1142,98,42,27,25.57,30.71,25.32
hoodie,basic,7.0,budget,CN,1443,92,33,358,10.34,12.12,9.98
hoodie,mid,8.5,budget,CN,1249,182,32,287,16.76,18.95,15.67
hoodie,mid,8.5,standard,CN,761,144,41,318,19.9,21.75,19.22
hoodie,mid,8.5,budget,MX,1346,200,32,183,17.38,18.19,17.28
hoodie,basic,7.0,standard,CN,1087,175,43,127,11.17,12.68,10.88
hoodie,basic,7.0,budget,CN,239,26,12,73,11.27,12.19,10.79
hoodie,basic,7.0,standard,CN,1092,160,37,63,11.17,13.96,11.29
hoodie,basic,7.0,premium,CN,1352,97,17,138,12.33,13.59,12.07
hoodie,basic,7.0,standard,CN,1658,200,18,109,11.34,12.06,11.01
hoodie,mid,8.5,standard,CN,1468,136,24,46,18.63,20.75,17.68
hoodie,basic,7.0,budget,MX,258,26,38,284,10.9,11.72,10.89
hoodie,basic,7.0,standard,CN,378,80,26,328,12.42,13.43,11.97
hoodie,basic,7.0,budget,CN,789,148,39,212,10.36,12.72,10.63
hoodie,mid,8.5,standard,US,379,61,38,161,21.38,24.9,21.58
hoodie,basic,7.0,standard,MX,44,12,19,210,12.36,13.63,11.9
hoodie,mid,8.5,standard,US,194,31,21,163,20.42,23.28,20.85
hoodie,mid,8.5,standard,US,1607,200,42,275,22.7,24.37,21.48
hoodie,mid,8.5,budget,US,1497,200,20,231,19.92,23.03,18.83
hoodie,basic,7.0,premium,MX,946,97,12,238,13.46,16.79,13.77
hoodie,mid,8.5,premium,US,1274,200,17,329,22.98,25.82,23.52
hoodie,basic,7.0,standard,MX,600,101,17,179,12.53,13.63,11.67
hoodie,premium,10.0,premium,MX,302,73,33,44,34.83,35.36,32.77
hoodie,premium,10.0,budget,CN,1481,169,22,360,24.57,27.07,23.82
hoodie,basic,7.0,standard,CN,1599,109,39,156,12.61,13.68,11.85
hoodie,mid,8.5,standard,CN,1804,200,12,248,17.78,19.27,16.88
hoodie,premium,10.0,premium,CN,1038,107,25,186,25.91,33.38,26.79
hoodie,mid,8.5,premium,CN,1586,94,13,334,20.26,21.98,19.09
hoodie,basic,7.0,premium,US,439,109,15,346,15.56,18.31,14.63
hoodie,basic,7.0,standard,CN,193,24,17,40,11.13,13.63,11.35
hoodie,mid,8.5,budget,CN,1001,65,44,129,17.38,18.13,17.24
hoodie,basic,7.0,budget,US,1786,200,15,258,10.41,12.13,10.81
hoodie,premium,10.0,budget,MX,1609,200,15,342,24.05,29.1,24.83
hoodie,basic,7.0,standard,CN,926,111,20,335,11.91,13.0,11.82
hoodie,premium,10.0,budget,MX,277,46,31,193,24.18,26.4,24.4
hoodie,basic,7.0,budget,CN,1158,197,45,159,10.41,11.25,10.05
hoodie,mid,8.5,standard,CN,1556,199,10,136,15.52,18.74,16.09
hoodie,mid,8.5,standard,CN,49,12,27,81,19.74,21.06,19.33
hoodie,mid,8.5,premium,US,174,12,11,21,21.39,23.82,22.39
hoodie,mid,8.5,standard,CN,1312,200,33,230,19.14,20.69,18.58
hoodie,basic,7.0,standard,US,441,107,16,288,13.68,16.34,13.33
hoodie,mid,8.5,standard,US,660,125,22,43,21.36,22.05,20.75
hoodie,mid,8.5,standard,US,384,28,15,19,21.79,23.75,20.29
hoodie,mid,8.5,standard,CN,366,45,24,74,19.13,20.67,19.41
hoodie,mid,8.5,standard,US,182,27,39,198,22.9,23.48,21.57
hoodie,basic,7.0,standard,CN,1856,200,14,130,11.33,12.63,11.91
hoodie,basic,7.0,premium,CN,391,92,9,297,13.26,15.27,12.72
hoodie,basic,7.0,budget,CN,1900,200,24,53,10.02,11.53,10.47
hoodie,mid,8.5,budget,CN,846,53,36,158,16.72,18.06,16.88
hoodie,mid,8.5,standard,US,622,101,26,332,20.54,23.37,19.02
hoodie,mid,8.5,standard,US,1655,163,7,223,21.69,25.43,21.26
hoodie,mid,8.5,budget,US,711,35,31,171,18.2,19.09,17.95
hoodie,premium,10.0,standard,CN,215,12,21,280,28.17,30.53,26.42
hoodie,mid,8.5,standard,CN,1060,81,32,52,18.22,21.05,18.84
hoodie,premium,10.0,premium,CN,829,157,27,176,29.19,37.72,29.77
hoodie,basic,7.0,standard,CN,248,20,17,244,11.9,12.15,11.07
hoodie,basic,7.0,budget,US,270,18,26,322,12.99,13.81,12.27
hoodie,basic,7.0,budget,US,753,97,10,360,12.49,14.5,11.63
hoodie,mid,8.5,standard,US,218,31,15,76,21.42,25.84,20.25
hoodie,basic,7.0,premium,CN,787,147,12,312,13.74,13.95,12.73
hoodie,mid,8.5,premium,US,213,49,28,76,23.56,25.4,23.33
hoodie,mid,8.5,premium,CN,833,124,31,363,18.76,21.93,19.03
hoodie,basic,7.0,standard,CN,1288,127,25,269,12.29,12.8,12.03
hoodie,basic,7.0,budget,CN,433,77,40,141,11.6,13.22,10.75
hoodie,basic,7.0,standard,US,1017,120,43,271,12.07,12.94,12.25
hoodie,mid,8.5,budget,CN,1685,200,10,255,17.05,17.0,15.84
hoodie,mid,8.5,budget,CN,1696,200,10,126,14.15,14.96,13.13
hoodie,premium,10.0,premium,CN,380,32,44,176,27.88,35.4,29.23
hoodie,premium,10.0,standard,US,1178,200,38,291,27.66,29.21,27.28
hoodie,basic,7.0,budget,US,1103,160,28,328,12.97,15.09,12.13
hoodie,basic,7.0,budget,CN,1226,200,16,70,11.16,13.36,10.51
hoodie,basic,7.0,premium,US,835,139,28,168,15.6,18.54,15.49
hoodie,mid,8.5,standard,CN,1473,200,29,128,18.5,19.92,17.52
hoodie,mid,8.5,budget,MX,388,75,43,214,16.98,19.59,17.44
hoodie,mid,8.5,standard,US,1334,200,38,86,18.6,21.88,19.37
hoodie,basic,7.0,standard,US,1997,135,28,242,12.89,15.94,12.95
hoodie,mid,8.5,budget,CN,922,181,17,225,16.83,19.8,16.84
hoodie,basic,7.0,standard,CN,1794,200,21,97,10.63,12.39,11.16
hoodie,basic,7.0,standard,MX,1843,200,11,294,12.25,12.82,11.37
hoodie,premium,10.0,premium,MX,1467,82,17,324,29.33,32.84,30.03
hoodie,mid,8.5,standard,US,1519,200,25,166,19.52,24.11,20.41
hoodie,mid,8.5,budget,CN,763,38,12,164,14.79,16.86,15.36
hoodie,mid,8.5,premium,CN,994,200,26,217,20.56,21.42,19.28
hoodie,mid,8.5,standard,CN,784,178,30,109,17.51,19.88,17.88
hoodie,basic,7.0,standard,CN,1391,96,29,291,12.35,12.99,11.78
hoodie,basic,7.0,standard,MX,1095,146,41,365,11.12,11.74,10.99
hoodie,premium,10.0,standard,CN,1053,172,40,306,27.35,28.6,26.54
hoodie,mid,8.5,budget,US,367,89,19,78,19.05,24.18,19.51
hoodie,basic,7.0,standard,CN,679,157,11,58,11.58,13.01,11.56
hoodie,basic,7.0,standard,CN,1813,95,44,281,11.85,13.71,11.58
hoodie,premium,10.0,budget,MX,241,39,13,160,26.66,31.36,25.05
hoodie,basic,7.0,standard,US,1196,200,9,102,13.61,13.85,13.08
hoodie,premium,10.0,standard,MX,511,30,37,151,27.49,35.73,28.86
hoodie,basic,7.0,budget,US,1031,200,13,130,12.65,13.3,11.96
hoodie,basic,7.0,standard,CN,409,56,33,262,12.25,14.28,11.53
hoodie,mid,8.5,budget,CN,662,127,32,83,14.99,19.28,15.41
hoodie,basic,7.0,budget,US,92,12,30,115,12.84,14.17,12.15
hoodie,mid,8.5,budget,CN,87,12,38,318,18.16,20.07,17.77
hoodie,mid,8.5,budget,CN,1726,200,25,28,15.18,18.47,15.63
hoodie,premium,10.0,premium,CN,1350,128,20,151,28.33,31.79,26.34
hoodie,mid,8.5,budget,US,379,64,7,128,19.15,20.34,18.16
hoodie,premium,10.0,standard,US,892,200,29,249,29.54,31.89,27.94
hoodie,basic,7.0,standard,CN,1381,200,30,301,11.76,12.79,11.43
hoodie,basic,7.0,budget,CN,591,105,24,147,10.57,12.68,10.85
hoodie,basic,7.0,budget,CN,1780,200,45,220,10.47,12.26,10.08
hoodie,mid,8.5,premium,CN,556,128,32,212,19.01,20.32,18.0
hoodie,mid,8.5,standard,US,1332,200,29,273,18.4,22.74,18.93
hoodie,mid,8.5,budget,CN,989,74,23,300,16.26,17.51,16.36
hoodie,basic,7.0,standard,US,653,87,28,204,13.62,17.17,13.78
hoodie,mid,8.5,premium,MX,1220,200,11,255,18.74,20.97,18.75
hoodie,basic,7.0,premium,MX,306,76,28,223,14.48,17.34,13.58
hoodie,basic,7.0,premium,CN,394,81,38,184,12.75,14.92,13.41
